sFile,sPath,sTrialType,sSubject,sPrefix,bTrial,nTrial,tSync,sSession,idTrial,nSampleStart,nSampleEnd,sModel
Sim_RHand_20DOF_Inv_idTrialType37_idTrial37.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_flx_icw_sup_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,37,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType38_idTrial38.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_ext_icw_pro_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,38,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType39_idTrial39.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_thumb_flx_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,39,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType40_idTrial40.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_pro_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,40,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType41_idTrial41.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_sup_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,41,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType42_idTrial42.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_flx_add_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,42,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType43_idTrial43.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_ext_abd_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,43,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType44_idTrial44.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,44,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType45_idTrial45.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,45,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType46_idTrial46.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_pro_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,46,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType47_idTrial47.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_pro_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,47,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType48_idTrial48.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_sup_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,48,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType49_idTrial49.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_sup_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,49,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType50_idTrial50.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_flx_icw_sup_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,50,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType51_idTrial51.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_ext_icw_pro_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,51,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType52_idTrial52.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_thumb_flx_ext,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,52,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType53_idTrial53.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_pro_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,53,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType54_idTrial54.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_sup_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,54,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType55_idTrial55.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_flx_add_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,55,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType56_idTrial56.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_ext_abd_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,56,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType57_idTrial57.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,57,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType58_idTrial58.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,58,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType59_idTrial59.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_pro_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,59,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType60_idTrial60.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_pro_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,60,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType61_idTrial61.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_sup_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,61,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType62_idTrial62.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_sup_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,62,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType63_idTrial63.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_flx_icw_sup_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,63,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType64_idTrial64.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_ext_icw_pro_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,64,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType65_idTrial65.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_thumb_flx_flx,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,65,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
